step,arc,vx,dS_p10,dS_p50,ess_final,frac_unsafe,n_all_unsafe,unsafe_mean,unsafe_max,unsafe_final,sigma_S,sigma_S_bulk,w_max
226,4388.01,-22.1886,7.0587e+10,1.76183e+11,1,0.0745091,0,37.2545,200,68,9.08525e+10,4.46734e+10,1
227,4388.01,-22.3729,7.89057e+10,2.2551e+11,1,0.0818909,0,40.9455,179,110,1.23452e+11,5.83031e+10,1
228,4386.1,-22.4961,6.00316e+10,1.49689e+11,1,0.0710909,0,35.5455,213,213,8.39086e+10,3.7367e+10,1
229,4386.1,-22.6733,5.31347e+10,1.62084e+11,1,0.0679273,0,33.9636,180,42,8.97216e+10,4.3381e+10,1
230,4384.19,-22.8409,4.39887e+10,1.44954e+11,1,0.0662545,0,33.1273,156,156,9.15312e+10,4.14436e+10,1
231,4382.28,-23.0027,6.62982e+10,1.67398e+11,1,0.0725455,0,36.2727,196,175,9.27155e+10,4.29468e+10,1
232,4382.28,-23.1579,4.6438e+10,1.42375e+11,1,0.0627636,0,31.3818,187,187,8.92321e+10,3.95646e+10,1
233,4380.37,-23.0542,8.03969e+10,1.86355e+11,1,0.0810182,0,40.5091,318,318,9.53184e+10,4.56341e+10,1
234,4380.37,-23.2353,4.00514e+10,1.4694e+11,1,0.0630182,0,31.5091,138,38,8.96788e+10,4.16824e+10,1
235,4378.46,-23.0902,6.64346e+10,1.71619e+11,1,0.0766909,0,38.3455,183,5,9.29766e+10,4.41406e+10,1
236,4376.55,-23.2735,7.66134e+10,1.96587e+11,1,0.0855273,0,42.7636,175,137,1.01723e+11,5.09691e+10,1
237,4376.55,-23.4228,5.44887e+10,1.55489e+11,1,0.0686909,0,34.3455,196,196,9.14577e+10,4.28392e+10,1
238,4374.64,-23.6019,9.30597e+10,2.15149e+11,1,0.0899636,0,44.9818,314,314,9.73535e+10,5.48754e+10,1
239,4372.73,-23.402,9.44771e+10,2.23717e+11,1,0.0898909,0,44.9455,303,0,1.04233e+11,5.33385e+10,1
240,4372.73,-23.2498,7.02363e+10,1.85274e+11,1,0.0800364,0,40.0182,137,93,9.39476e+10,4.8802e+10,1
241,4370.82,-23.3331,7.60078e+10,1.94474e+11,1,0.0830182,0,41.5091,201,201,1.01602e+11,4.86128e+10,1
242,4370.82,-23.4742,9.67188e+10,2.00081e+11,1,0.0878182,0,43.9091,252,0,9.2644e+10,4.7159e+10,1
243,4368.91,-23.217,7.52412e+10,1.74581e+11,1,0.0775273,0,38.7636,205,0,9.43388e+10,4.36545e+10,1
244,4367.01,-23.3509,1.01854e+11,2.49438e+11,1,0.0965455,0,48.2727,195,0,1.14463e+11,6.11451e+10,1
245,4367.01,-23.1778,1.46173e+11,2.72667e+11,1,0.152327,2,76.1636,500,500,1.12424e+11,6.01851e+10,1
246,4365.1,-23.2592,1.25451e+11,2.43398e+11,1,0.1004,0,50.2,248,161,1.07293e+11,5.65645e+10,1
247,4365.1,-23.0274,8.98832e+10,2.03395e+11,1,0.0952727,0,47.6364,311,311,1.03215e+11,4.8077e+10,1
248,4363.2,-23.1525,1.16336e+11,2.28928e+11,1,0.102182,0,51.0909,363,0,1.01113e+11,5.16817e+10,1
249,4361.29,-22.9505,8.76063e+10,1.93996e+11,1,0.0872,0,43.6,235,0,9.54513e+10,4.51821e+10,1
250,4361.29,-23.0692,8.86204e+10,2.08589e+11,1,0.0881818,0,44.0909,138,68,1.08954e+11,5.14832e+10,1
251,4359.39,-23.12,7.1062e+10,1.72941e+11,1,0.0778182,0,38.9091,164,95,9.61307e+10,4.2111e+10,1
252,4357.48,-23.2402,1.17782e+11,2.27256e+11,1,0.101491,0,50.7455,314,264,1.06933e+11,5.07568e+10,1
253,4357.48,-23.0719,9.74963e+10,2.16363e+11,1,0.0966182,0,48.3091,319,0,1.03664e+11,5.10048e+10,1
254,4355.57,-23.2257,5.73878e+10,1.70564e+11,1,0.0782909,0,39.1455,142,70,9.57044e+10,4.48164e+10,1
255,4355.57,-23.3719,9.62268e+10,1.98501e+11,1,0.0936364,0,46.8182,178,146,9.94296e+10,4.6015e+10,1
256,4353.66,-23.5237,7.02672e+10,2.0038e+11,1,0.0853091,0,42.6545,218,125,1.08564e+11,5.40443e+10,1
257,4351.76,-23.7216,8.3053e+10,2.01544e+11,1,0.0880727,0,44.0364,323,98,9.56093e+10,5.13239e+10,1
258,4351.76,-23.906,8.97814e+10,2.00393e+11,1,0.0870545,0,43.5273,323,47,9.74622e+10,5.31155e+10,1
259,4349.85,-24.0937,7.02815e+10,1.80184e+11,1,0.0843636,0,42.1818,223,182,9.44215e+10,4.57904e+10,1
260,4349.85,-24.0931,6.27702e+10,1.59015e+11,1,0.0705818,0,35.2909,186,96,8.90285e+10,4.19911e+10,1
261,4347.95,-24.2198,6.84003e+10,1.84198e+11,1,0.0804,0,40.2,165,52,9.55985e+10,4.71172e+10,1
262,4346.05,-24.0386,5.2102e+10,1.45398e+11,1,0.0665818,0,33.2909,150,46,9.13657e+10,4.07061e+10,1
263,4346.05,-24.2074,1.10619e+11,2.40298e+11,1,0.102036,0,51.0182,311,311,1.10586e+11,5.56769e+10,1
264,4344.15,-24.3892,4.84712e+10,1.35698e+11,1,0.0619636,0,30.9818,154,51,7.66456e+10,3.53561e+10,1
265,4342.25,-24.512,4.67682e+10,1.35392e+11,1,0.0658545,0,32.9273,171,123,8.43516e+10,3.93242e+10,1
266,4342.25,-24.4641,5.75874e+10,1.6422e+11,1,0.0806909,0,40.3455,195,167,8.91806e+10,4.30447e+10,1
267,4340.35,-24.3996,3.95037e+10,1.30899e+11,1,0.0586545,0,29.3273,171,22,8.41967e+10,3.65104e+10,1
268,4338.45,-24.5492,3.7267e+10,1.45758e+11,1,0.0613455,0,30.6727,148,74,9.08307e+10,4.21841e+10,1
269,4338.45,-24.4033,5.91539e+10,1.62363e+11,1,0.0686182,0,34.3091,145,107,8.91936e+10,4.22626e+10,1
270,4336.55,-24.2777,8.69814e+10,1.93838e+11,1,0.084,0,42,248,248,9.32134e+10,4.68906e+10,1
271,4336.55,-24.4336,4.27917e+10,1.48586e+11,1,0.0665455,0,33.2727,137,127,9.71645e+10,4.24058e+10,1
272,4334.65,-24.5751,5.6893e+10,1.77635e+11,1,0.0759636,0,37.9818,194,194,9.92353e+10,4.71131e+10,1
273,4332.75,-24.4142,4.52671e+10,1.52765e+11,1,0.0626182,0,31.3091,150,43,8.87324e+10,4.27612e+10,1
274,4332.75,-24.5666,5.1063e+10,1.50648e+11,1,0.0678182,0,33.9091,191,60,8.75115e+10,4.14413e+10,1
275,4330.85,-24.7338,7.21774e+10,1.748e+11,1,0.0778545,0,38.9273,199,103,9.50197e+10,4.569e+10,1
276,4328.96,-24.9157,4.19241e+10,1.54294e+11,1,0.0629455,0,31.4727,145,123,1.02721e+11,4.31588e+10,1
277,4328.96,-25.0906,6.10915e+10,1.75119e+11,1,0.0744364,0,37.2182,230,230,1.05212e+11,4.64992e+10,1
278,4327.06,-25.1622,6.1242e+10,1.66619e+11,1,0.0681818,0,34.0909,177,100,9.39541e+10,4.08706e+10,1
279,4325.16,-24.9769,6.16096e+10,1.72029e+11,1,0.0724364,0,36.2182,163,163,1.01153e+11,4.52483e+10,1
280,4325.16,-24.7955,7.96558e+10,1.93779e+11,1,0.0814909,0,40.7455,259,54,1.10867e+11,4.60768e+10,1
281,4323.26,-24.9826,5.21707e+10,1.54458e+11,1,0.0713818,0,35.6909,166,65,9.5123e+10,4.46647e+10,1
282,4321.36,-24.7568,8.23858e+10,2.19278e+11,1,0.0790545,0,39.5273,231,231,1.14008e+11,5.64686e+10,1
283,4321.36,-24.7461,4.901e+10,1.35561e+11,1,0.0611273,0,30.5636,159,159,7.93459e+10,3.58885e+10,1
284,4319.46,-24.8894,2.57192e+10,1.14097e+11,1,0.0511273,0,25.5636,134,16,7.80789e+10,3.47045e+10,1
285,4317.57,-24.9633,5.32904e+10,1.50073e+11,1,0.0646909,0,32.3455,163,16,1.01099e+11,4.06911e+10,1
286,4317.57,-24.7592,5.62647e+10,1.46661e+11,1,0.0638182,0,31.9091,163,157,9.17223e+10,3.84578e+10,1
287,4315.67,-24.677,9.20401e+10,2.02899e+11,1,0.0798182,0,39.9091,330,330,1.00093e+11,4.85295e+10,1
288,4313.79,-24.5167,4.7231e+10,1.49716e+11,1,0.0609091,0,30.4545,211,211,1.00431e+11,4.29853e+10,1
289,4313.79,-24.3738,8.24536e+10,1.99649e+11,1,0.0684364,0,34.2182,281,281,1.09519e+11,5.06166e+10,1
290,4311.9,-24.2698,1.16007e+11,2.34158e+11,1,0.0787636,0,39.3818,377,377,1.108e+11,5.4971e+10,1
291,4310,-24.1628,3.91081e+10,1.42947e+11,1,0.0562182,0,28.1091,161,114,9.68129e+10,3.9465e+10,1
292,4310,-23.9745,7.58885e+10,1.92293e+11,1,0.0738182,0,36.9091,205,121,1.02072e+11,5.07367e+10,1
293,4308.11,-24.1468,5.1243e+10,1.62823e+11,1,0.0654909,0,32.7455,161,137,1.08599e+11,4.61085e+10,1
294,4308.11,-24.3289,8.84324e+10,1.99721e+11,1,0.0799636,0,39.9818,226,157,9.88383e+10,4.93292e+10,1
295,4306.22,-24.1465,1.22687e+11,2.54349e+11,1,0.0843636,0,42.1818,390,390,1.19534e+11,6.2942e+10,1
296,4304.32,-24.3192,1.19106e+11,2.51675e+11,1,0.0885818,0,44.2909,222,222,1.29646e+11,5.81586e+10,1
297,4304.32,-24.136,1.28124e+11,2.82435e+11,1,0.0911636,0,45.5818,375,375,1.24463e+11,6.72167e+10,1
298,4302.43,-24.3118,1.09385e+11,2.60928e+11,1,0.0825455,0,41.2727,255,255,1.33767e+11,6.33956e+10,1
299,4300.54,-24.487,1.06615e+11,3.05203e+11,1,0.0818545,0,40.9273,281,168,1.47618e+11,8.19234e+10,1
300,4300.54,-24.6568,7.63764e+10,2.52857e+11,1,0.0768363,0,38.4182,178,178,1.42646e+11,6.78337e+10,1
301,4298.65,-24.8037,1.63027e+11,3.61817e+11,1,0.1008,0,50.4,317,113,1.53964e+11,8.23527e+10,1
302,4296.76,-24.9751,1.32027e+11,2.93144e+11,1,0.0991637,0,49.5818,440,440,1.56602e+11,6.82976e+10,1
303,4296.76,-25.1518,8.13418e+10,2.55245e+11,1,0.0747636,0,37.3818,214,203,1.69583e+11,6.59054e+10,1
304,4294.87,-24.9505,1.14687e+11,2.37527e+11,1,0.104436,0,52.2182,475,475,1.17726e+11,5.46334e+10,1
305,4292.98,-25.0907,1.37701e+11,3.02994e+11,1,0.1228,1,61.4,500,500,1.33611e+11,6.93918e+10,1
306,4292.98,-25.2291,2.1837e+11,3.97511e+11,1,0.142764,2,71.3818,500,500,1.49808e+11,8.10927e+10,1
307,4291.09,-25.0564,1.8078e+11,3.45482e+11,1,0.114945,1,57.4727,500,500,1.65279e+11,7.12928e+10,1
308,4289.2,-24.8351,1.8583e+11,3.63883e+11,1,0.111564,0,55.7818,494,494,1.66619e+11,7.96846e+10,1
309,4289.2,-24.6138,8.03595e+10,1.82218e+11,1,0.0844364,0,42.2182,198,11,1.00809e+11,4.45126e+10,1
310,4287.31,-24.6695,1.25992e+11,2.65567e+11,1,0.0963636,0,48.1818,452,452,1.17702e+11,5.92727e+10,1
311,4285.42,-24.6386,2.03897e+11,3.80823e+11,1,0.132182,2,66.0909,500,500,1.50083e+11,7.40125e+10,1
312,4285.42,-24.6671,5.1288e+11,7.94513e+11,1,0.201382,6,100.691,500,500,2.3597e+11,1.46942e+11,1
313,4283.54,-24.461,2.525e+11,4.76947e+11,1,0.232655,7,116.327,500,500,1.95218e+11,9.42003e+10,1
314,4281.65,-24.383,5.58316e+11,1.10362e+12,1,0.224836,8,112.418,500,500,3.67569e+11,2.4534e+11,1
315,4281.65,-24.1123,8.48644e+11,1.46712e+12,1,0.257127,10,128.564,500,500,4.95105e+11,3.20821e+11,1
316,4279.77,-23.8342,4.0993e+11,1.25525e+12,1,0.33,13,165,500,500,6.96154e+11,3.2433e+11,1
317,4277.88,-23.7271,6.97694e+11,1.32119e+12,1,0.293709,11,146.855,500,500,4.47892e+11,2.94856e+11,1
318,4277.88,-23.8416,1.96741e+11,4.68078e+11,1,0.219418,7,109.709,500,500,2.55596e+11,1.14051e+11,1
319,4276,-23.635,4.98263e+11,1.05378e+12,1,0.271127,10,135.564,500,500,4.62824e+11,2.38322e+11,1
320,4276,-23.7474,3.90973e+11,8.83507e+11,1,0.334509,13,167.255,500,500,4.15471e+11,2.14748e+11,1
321,4274.12,-23.5123,2.69968e+11,1.39057e+12,1,0.280691,11,140.345,500,500,6.16483e+11,4.69855e+11,1
322,4272.24,-23.2992,4.20476e+11,1.11449e+12,1,0.254982,9,127.491,500,500,2.72117e+12,2.60553e+11,1
323,4272.24,-23.0961,2.34062e+11,4.85962e+11,1,0.307418,12,153.709,500,500,1.84879e+11,1.12876e+11,1
324,4270.36,-22.9764,5.37437e+11,2.78059e+12,1,0.340618,15,170.309,500,500,1.23715e+12,8.33488e+11,1
325,4268.48,-22.8,6.62766e+11,1.24592e+12,1,0.347236,15,173.618,500,500,5.26021e+11,2.76434e+11,1
326,4268.48,-22.7032,7.26594e+11,1.6795e+12,1,0.398945,18,199.473,500,500,2.46714e+12,3.86547e+11,1
327,4266.6,-22.8848,1.28994e+12,2.21302e+12,1,0.445236,21,222.618,500,500,7.02435e+11,4.22598e+11,1
328,4266.6,-22.9801,2.81206e+13,3.81211e+13,1,0.460109,23,230.055,500,500,6.83127e+12,7.58094e+12,1
329,4264.71,-22.7917,4.08754e+12,1.20838e+13,1,0.483636,24,241.818,500,500,5.14537e+12,3.13498e+12,1
330,4262.83,-22.9501,3.3974e+12,1.21707e+13,1,0.493745,25,246.873,500,500,3.98577e+12,3.81276e+12,1
331,4262.83,-23.1454,4.21643e+12,1.36984e+13,1,0.507309,26,253.655,500,500,4.5592e+12,4.0582e+12,1
332,4260.95,-23.2634,2.69039e+13,3.42287e+13,1,0.5148,27,257.4,500,500,5.60347e+12,4.88361e+12,1
333,4259.07,-23.0851,6.76864e+12,1.2842e+13,1,0.520109,27,260.055,500,500,4.36165e+12,2.58338e+12,1
334,4259.07,-23.2633,2.23509e+12,1.54382e+13,1,0.551164,28,275.582,500,500,7.69229e+12,4.65195e+12,1
335,4257.19,-23.0946,3.78408e+12,2.44177e+13,1,0.587564,30,293.782,500,500,1.08765e+13,8.89031e+12,1
336,4257.19,-22.9135,4.3598e+12,7.17234e+12,1,0.597491,30,298.745,500,500,2.64007e+12,1.2899e+12,1
337,4255.31,-23.1026,2.59695e+12,6.84885e+12,1,0.629491,33,314.745,500,500,3.49647e+12,1.69663e+12,1
338,4253.43,-23.0803,2.21575e+12,5.87863e+12,1,0.641564,34,320.782,500,500,1.22914e+13,1.42431e+12,1
339,4253.43,-22.8683,7.28747e+12,1.3734e+13,1,0.665309,36,332.655,500,500,5.1119e+12,3.17185e+12,1
340,4251.55,-22.8557,5.00388e+12,1.20594e+13,1,0.672582,36,336.291,500,500,4.73763e+12,3.16615e+12,1
341,4251.55,-23.044,7.87426e+12,1.6255e+13,1,0.694073,38,347.036,500,500,6.75931e+12,3.82878e+12,1
342,4249.67,-22.8685,2.43544e+12,7.98086e+12,1,0.709018,38,354.509,500,500,3.89038e+12,2.35283e+12,1
343,4247.79,-22.692,2.53901e+12,4.73577e+12,1,0.727236,39,363.618,500,500,3.48848e+12,9.24271e+11,1
344,4247.79,-22.5006,8.97018e+12,1.67911e+13,1,0.746655,41,373.327,500,500,9.1578e+12,3.68859e+12,1
345,4245.91,-22.3146,3.99298e+12,9.09237e+12,1,0.7628,41,381.4,500,500,5.40329e+12,2.17227e+12,1
346,4245.91,-22.1417,2.60012e+12,5.43469e+12,1,0.781527,42,390.764,500,500,5.43906e+12,1.14343e+12,1
347,4244.03,-22.0297,4.73999e+12,1.07119e+13,1,0.7988,43,399.4,500,500,6.54747e+12,2.65348e+12,1
348,4242.16,-22.199,4.86179e+12,1.8223e+13,1,0.8176,44,408.8,500,500,7.64141e+12,5.46657e+12,1
349,4242.16,-22.0094,6.61576e+12,1.29647e+13,1,0.835091,45,417.545,500,500,6.66636e+12,2.77043e+12,1
350,4240.29,-21.839,6.76874e+12,1.36472e+13,1,0.853527,46,426.764,500,500,7.27181e+12,3.26715e+12,1
351,4240.29,-21.6541,6.3058e+12,1.45407e+13,1,0.869164,47,434.582,500,500,8.9768e+12,3.5239e+12,1
352,4238.41,-21.5378,6.83731e+12,1.40966e+13,1,0.887927,48,443.964,500,500,9.0351e+12,3.13495e+12,1
353,4238.41,-21.7332,4.98577e+12,9.51115e+12,1,0.909055,49,454.527,500,500,7.97591e+12,2.0316e+12,1
354,4236.53,-21.6266,6.47017e+12,1.46386e+13,1,0.927273,51,463.636,500,500,1.11046e+13,3.46403e+12,1
355,4234.24,-21.749,7.70023e+12,1.52582e+13,1,0.945455,52,472.727,500,500,1.28401e+13,3.26866e+12,1
356,4234.24,-21.5985,5.93392e+12,1.1613e+13,1,0.963636,53,481.818,500,500,1.06555e+13,2.46738e+12,1
357,4234.24,-21.4898,3.53401e+12,7.34446e+12,1,0.981818,54,490.909,500,500,1.16957e+13,1.71097e+12,1
358,4232.37,-21.331,3.70678e+12,7.90464e+12,1,1,55,500,500,500,1.05289e+13,1.77943e+12,1
359,4232.37,-21.1365,6.58236e+12,1.15527e+13,1,1,55,500,500,500,1.05994e+13,2.11308e+12,1
360,4230.51,-20.952,4.98712e+12,1.01256e+13,1,1,55,500,500,500,9.84207e+12,2.11228e+12,1
361,4228.64,-20.7701,4.29545e+12,1.03003e+13,1,1,55,500,500,500,1.01383e+13,2.54341e+12,1
