step,arc,vx,accept_0,accept_1,accept_2,accept_mean,dS_p10_0,dS_p10_1,dS_p10_2,dS_p10_mean,dS_p50_0,dS_p50_1,dS_p50_2,dS_p50_mean,d_cost_0,d_cost_1,d_cost_2,d_cost_mean,ess_final,ess_post_0,ess_post_1,ess_post_2,ess_post_mean,ess_pre_0,ess_pre_1,ess_pre_2,ess_pre_mean,evolve_attract_ess_0,evolve_attract_ess_1,evolve_attract_ess_2,evolve_attract_ess_mean,sigma_S_0,sigma_S_1,sigma_S_2,sigma_S_mean,sigma_S_bulk_0,sigma_S_bulk_1,sigma_S_bulk_2,sigma_S_bulk_mean,unique_anc0,w_max
55,1.91467,-4.02551,0.6,0.556,0.578,0.578,629.57,718.334,57.2949,468.4,1302.47,252169,6.19289e+06,2.14879e+06,-427.43,-7.87574e+06,-8.10902e+06,-5.3284e+06,101.548,441.596,289.018,101.548,277.387,15.0819,18.7468,154.511,62.7801,83.7343,49.0214,41.5301,58.0952,1208.33,1.08009e+08,1.37878e+08,8.19628e+07,286.251,206.93,594138,198210,34,0.0161284
56,1.91467,-4.2077,0.62,0.566,0.51,0.565333,362.547,2773.72,50.7979,1062.36,937.801,3200.62,237.553,1458.66,-414.472,-5.02579e+06,-3.35474e+06,-2.79365e+06,207.681,469.764,440.888,207.681,372.777,56.7486,3.13017,237.554,99.1441,84.4997,48.6403,59.0441,64.0613,1253.72,8.78033e+07,7.92731e+07,5.56926e+07,231.475,571.106,59.754,287.445,51,0.00867124
57,1.91467,-4.38783,0.598,0.52,0.554,0.557333,485.027,2046.01,69.8398,866.96,882.316,2.20965e+06,324.559,736953,-7687.43,-7.16457e+06,-4.62007e+06,-3.93077e+06,182.733,463.912,410.18,182.733,352.275,38.1653,1.5144,203.342,81.0071,87.253,46.1667,57.5657,63.6618,1098.93,8.35078e+07,7.8975e+07,5.41613e+07,148.093,192717,94.3681,64319.7,75,0.0104501
58,1.91467,-4.56413,0.554,0.492,0.502,0.516,230.066,1473.25,96.6924,600.004,580.434,1871.94,1.61932e+06,540590,-8709.42,-3.94366e+06,-4.84682e+06,-2.93306e+06,147.682,468.844,462.733,147.682,359.753,131.534,22.7908,144.545,99.623,87.9372,56.6742,46.2952,63.6355,187845,7.32474e+07,7.18258e+07,4.84204e+07,134.513,474.381,177737,59448.5,74,0.0112649
59,1.91467,-4.74603,0.57,0.542,0.562,0.558,232.605,1579.87,42.0625,618.178,524.191,1915.38,414.779,951.449,-9654.76,-3.79273e+06,-5.04038e+06,-2.94759e+06,155.375,460.804,453.878,155.375,356.686,151.218,17.398,163.958,110.858,90.2772,60.619,47.1269,66.0077,952.076,6.72045e+07,6.90064e+07,4.5404e+07,115.459,474.547,133.594,241.2,95,0.0110894
60,0,-4.92735,0.556,0.552,0.514,0.540667,277.66,902.992,65.0781,415.243,503.758,1324.3,3.45692e+06,1.15292e+06,-6777.01,-3.37648e+06,-5.87687e+06,-3.08671e+06,107.034,464.129,400.56,107.034,323.908,173.239,23.5915,144.019,113.617,94.0905,57.3193,42.1491,64.5196,763.401,9.8067e+07,8.34525e+07,6.05068e+07,96.3519,326.019,408141,136188,111,0.0164126
61,0,-5.10385,0.538,0.528,0.532,0.532667,140.418,364.426,68.6221,191.155,374.164,689.799,330.49,464.818,-62488.2,-3.30433e+06,-5.49618e+06,-2.95433e+06,209.069,474.166,472.729,209.069,385.321,212.216,97.1727,210.38,173.256,93.3287,66.4347,59.4534,73.0723,604.428,5.09871e+07,9.16399e+07,4.75425e+07,92.1107,122.055,89.8575,101.341,131,0.00930276
62,0,-5.27824,0.524,0.586,0.516,0.542,160.715,67.2832,37.8057,88.6012,392.387,373.438,333.418,366.414,-15913.9,-4.31604e+06,-5.2389e+06,-3.19029e+06,208.688,473.597,471.817,208.688,384.701,217.529,185.025,207.823,203.459,93.8185,63.5067,62.9502,73.4252,501.777,4.66725e+07,6.62343e+07,3.76358e+07,90.7552,106.943,93.8563,97.1849,130,0.00906717
63,0,-5.46144,0.576,0.514,0.502,0.530667,195.777,794.982,20.2285,336.996,430.891,1115.73,302.555,616.392,-31885.6,-2.56572e+06,-3.10939e+06,-1.90233e+06,208.998,473.691,483.789,208.998,388.826,201.837,7.05037,219.164,142.684,95.3992,69.0765,61.3715,75.2824,391.837,4.81969e+07,5.72962e+07,3.51645e+07,95.169,178.263,92.1051,121.846,131,0.00801394
64,0,-5.6211,0.54,0.542,0.546,0.542667,176.957,64.752,52.8877,98.1989,386.711,338.162,340.664,355.179,-4334.87,-2.86005e+06,-5.37694e+06,-2.74711e+06,195.684,471.906,456.738,195.684,374.776,208.057,199.75,206.067,204.625,97.061,70.8349,60.5841,76.16,302.819,3.97173e+07,6.7899e+07,3.58722e+07,88.945,97.925,96.8708,94.5803,146,0.00998456
65,0,-5.77681,0.504,0.518,0.532,0.518,131.512,58.2852,50.2422,80.013,345.48,332.965,291.408,323.285,-5861.64,-3.02614e+06,-2.62049e+06,-1.88416e+06,211.605,471.954,472.361,211.605,385.306,241.509,199.965,230.035,223.836,97.0952,71.2058,66.761,78.354,262.909,4.37642e+07,6.49426e+07,3.62357e+07,81.177,102.437,79.8945,87.8361,145,0.00869886
66,0,-5.94915,0.526,0.548,0.538,0.537333,151.137,68.2305,61.2354,93.5342,347.641,346.107,295.969,329.906,-63561.6,-1.89506e+06,-3.4287e+06,-1.79577e+06,195.142,471.878,456.257,195.142,374.426,235.54,207.965,222.412,221.972,96.9644,75.3805,67.0791,79.808,246.529,3.75234e+07,6.1093e+07,3.28722e+07,80.3654,97.5589,81.7965,86.5736,159,0.00990101
67,4502.91,-6.12836,0.608,0.458,0.528,0.531333,906.145,1182.01,5.58991e+06,1.864e+06,1865.46,4.99976e+07,1.13868e+08,5.46224e+07,-67851.2,-6.74196e+06,-8.54722e+06,-5.11901e+06,2.61633,229.443,124.549,2.61633,118.87,7.06816,7.34165,2.12011,5.50997,73.3025,43.0809,8.55578,41.6464,58923.6,2.25478e+08,1.38399e+08,1.21312e+08,418.09,8.10137e+06,3.47324e+07,1.42781e+07,15,0.605304
68,4502.91,-6.31403,0.568,0.474,0.73,0.590667,1012.99,406.825,2.99245e+07,9.9753e+06,1987.16,1.88126e+08,1.89116e+08,1.25748e+08,-68481.4,-4.02959e+06,-9.39444e+06,-4.4975e+06,1,375.231,119.04,1,165.09,4.86821,35.8422,1,13.9035,71.7555,23.0541,1,31.9365,827.737,3.16544e+08,1.03379e+08,1.39975e+08,419.534,3.1677e+07,6.64736e+07,3.2717e+07,5,1
69,4502.91,-6.5001,0.61,0.648,0.77,0.676,1239.23,2.61411e+07,2.03582e+07,1.55002e+07,2107.72,5.07372e+07,5.21617e+08,1.90785e+08,-268822,-1.04733e+07,-1.45572e+07,-8.43309e+06,1,293.285,120.516,1,138.267,3.66496,1.11989,1,1.92828,69.5964,1,1,23.8655,2193.17,1.38747e+08,2.27388e+08,1.22046e+08,436.87,9.48091e+06,1.35124e+08,4.82019e+07,6,1
70,4502.91,-6.63467,0.572,0.514,0.642,0.576,1409.82,419.742,540.568,790.044,2458.1,2.57413e+08,4.36857e+08,2.31424e+08,-713225,-6.56266e+06,-8.75622e+06,-5.34404e+06,24.8701,171.922,120.153,24.8701,105.648,1.75634,32.6475,24.8701,19.758,65.279,10.0642,13.5569,29.6334,2.2281e+06,1.96094e+08,1.94941e+08,1.31088e+08,475.069,9.41274e+07,1.36784e+08,7.69706e+07,7,0.0882959
71,4502.91,-6.75949,0.616,0.51,0.682,0.602667,827.195,4.99094e+07,3.94997e+08,1.48303e+08,1773.75,2.80312e+08,4.17024e+08,2.32446e+08,-1.14629e+06,-4.84238e+06,-1.09877e+07,-5.6588e+06,1,378.836,138.168,1,172.668,6.85546,16.507,1,8.12082,69.9623,7.73914,1,26.2338,3.01283e+06,2.51674e+08,1.16621e+08,1.23769e+08,396.902,6.17832e+07,1.10386e+08,5.739e+07,8,1
72,4502.91,-6.90199,0.558,0.42,0.744,0.574,998.969,6.46929e+07,3.04293e+06,2.2579e+07,1868.51,5.58276e+08,4.19685e+08,3.25988e+08,-1.24517e+06,-3.74763e+06,-9.58994e+06,-4.86091e+06,3.95223,202.146,153.455,3.95223,119.851,3.89804,5.91789,3.95223,4.58939,68.1161,5.75391,1,24.9567,1.8441e+06,2.50079e+08,2.27578e+08,1.59834e+08,388.164,1.94612e+08,1.82743e+08,1.25785e+08,6,0.32885
73,4500.99,-7.07537,0.6,0.53,0.758,0.629333,1487.12,165.403,4.48533e+07,1.49516e+07,2468.81,3.74162e+08,1.74459e+08,1.82874e+08,-2.73878e+06,-4.9746e+06,-1.3656e+07,-7.12314e+06,1,203.511,119.001,1,107.837,1.80336,75.1729,1,25.9921,62.246,21.01,1,28.0853,3.367e+06,2.05716e+08,1.06454e+08,1.05179e+08,454.724,1.70679e+08,3.47303e+07,6.84699e+07,5,1
74,4500.99,-7.25952,0.536,0.474,0.64,0.55,849.805,8.5165e+06,331.041,2.83923e+06,1507.52,4.67081e+08,4.46056e+08,3.0438e+08,-5.12497e+06,-4.41915e+06,-4.53929e+06,-4.69447e+06,38.8704,343.772,169.669,38.8704,184.104,3.97424,1.72397,38.9213,14.8732,67.0304,1.39621,35.6774,34.7013,7.19943e+06,2.52638e+08,2.48929e+08,1.69589e+08,278.385,1.44044e+08,1.72815e+08,1.0562e+08,6,0.0788895
75,4500.99,-7.44306,0.562,0.48,0.502,0.514667,880.852,705.224,444.424,676.833,1622.65,3.94373e+08,2.33205e+08,2.09193e+08,-3.77939e+06,-3.3472e+06,-5.94906e+06,-4.35855e+06,31.091,297.618,123.452,31.091,150.72,5.08255,30.0698,31.1682,22.1068,70.2196,20.2186,21.504,37.3141,6.94879e+06,2.46722e+08,2.51946e+08,1.68539e+08,323.598,1.38081e+08,4.93716e+07,6.24841e+07,7,0.0773453
76,4500.99,-7.62599,0.556,0.552,0.712,0.606667,982.309,2.40523e+08,5.89523e+07,9.98255e+07,1841.38,4.1574e+08,2.03152e+08,2.06298e+08,-9.98453e+06,-6.86627e+06,-1.10059e+07,-9.28558e+06,1,291.896,119,1,137.299,6.48157,11.4399,1,6.30717,54.4422,3.77463,1.0009,19.7392,1.99246e+07,1.71216e+08,1.21436e+08,1.04192e+08,403.12,1.06407e+08,6.92236e+07,5.85438e+07,5,1
77,4500.99,-7.76882,0.548,0.518,0.748,0.604667,872.395,457.236,1.02974e+08,3.43252e+07,1715.18,3.64991e+08,2.99304e+08,2.21432e+08,-9.28341e+06,-4.33424e+06,-9.46429e+06,-7.69398e+06,1,227.755,209.318,1,146.025,6.15912,29.2772,1,12.1455,56.2501,15.9866,1,24.4122,2.03702e+07,2.45357e+08,1.42608e+08,1.36112e+08,352.96,1.35761e+08,6.73404e+07,6.77007e+07,6,1
78,4499.08,-7.95507,0.548,0.506,0.568,0.540667,815.043,7.567e+06,8.39198e+07,3.04959e+07,1624.31,4.88478e+08,1.54864e+08,2.14448e+08,-9.17795e+06,-4.76401e+06,-3.58853e+06,-5.84349e+06,1,292.304,120.164,1,137.822,8.42854,19.461,1,9.62984,62.11,9.28834,1,24.1328,1.08934e+07,2.74174e+08,8.6318e+07,1.23795e+08,349.472,1.48752e+08,2.53799e+07,5.80441e+07,10,1
79,4499.08,-8.13814,0.542,0.454,0.56,0.518667,984.75,491.347,997.212,824.436,1789.46,2.07577e+08,2.71887e+08,1.59822e+08,-1.3512e+07,-5.32886e+06,-8.95619e+06,-9.26568e+06,19.693,368.999,123.161,19.693,170.618,5.53498,28.4906,20.0879,18.0378,51.3677,15.5911,30.8699,32.6096,2.15808e+07,2.7468e+08,2.74986e+08,1.90416e+08,358.044,5.19554e+07,1.15262e+08,5.57394e+07,8,0.0963859
80,4499.08,-8.31966,0.558,0.442,0.682,0.560667,875.492,1.5434e+07,1.94083e+07,1.16144e+07,1656.73,6.1193e+08,3.00286e+08,3.04073e+08,-2.14097e+07,-4.03005e+06,-1.41881e+07,-1.32093e+07,1,283.17,210.043,1,164.738,3.25515,5.6523,1,3.30248,51.2176,1.19973,1,17.8058,2.06528e+07,2.32716e+08,2.07836e+08,1.53735e+08,317.425,2.32667e+08,6.19438e+07,9.82036e+07,6,1
81,4499.08,-8.50341,0.542,0.456,0.738,0.578667,1052.19,2.0728e+07,312.63,6.90977e+06,1961.05,4.53016e+08,4.73302e+08,3.08773e+08,-2.1395e+07,-4.99593e+06,-2.15226e+07,-1.59712e+07,55.1731,293.491,127.866,55.1731,158.843,5.97745,1.99661,55.1731,21.049,49.1988,1.38191,18.483,23.0212,3.39407e+07,2.3213e+08,3.48143e+08,2.04738e+08,427.672,1.89277e+08,1.93338e+08,1.27539e+08,6,0.0603698
82,4499.08,-8.67308,0.542,0.532,0.814,0.629333,1259.67,2.48718e+08,2.62327e+07,9.16506e+07,2369.46,4.17449e+08,4.36213e+08,2.84555e+08,-2.29914e+07,-8.32748e+06,-2.03916e+07,-1.72368e+07,1,290.629,236.692,1,176.107,3.14524,1.83965,1,1.99496,39.9895,1,1,13.9965,2.95642e+07,1.68542e+08,2.33561e+08,1.43889e+08,501.929,1.22951e+08,1.09824e+08,7.75917e+07,5,1
83,4497.16,-8.52857,0.534,0.506,0.682,0.574,1294.93,2.90864e+07,2.48646e+08,9.2578e+07,2439.41,5.70402e+08,3.00541e+08,2.90315e+08,-2.16142e+07,-5.59121e+06,-1.32632e+07,-1.34895e+07,1,163.766,118.952,1,94.5725,2.48811,7.34759,1,3.6119,44.762,4.34671,1,16.7029,2.50865e+07,2.37823e+08,1.27723e+08,1.30211e+08,512.512,2.24356e+08,5.97019e+07,9.46861e+07,7,1
84,4497.16,-8.71131,0.546,0.494,0.692,0.577333,779.895,270.719,3.24028e+07,1.08013e+07,1795.21,2.72447e+08,3.95386e+08,2.22612e+08,-2.24153e+07,-4.31406e+06,-1.31775e+07,-1.33023e+07,1,308.183,184.107,1,164.43,13.1243,53.6911,1,22.6051,43.0656,11.756,1,18.6072,2.20068e+07,2.69588e+08,2.54808e+08,1.82134e+08,416.407,1.05583e+08,1.6998e+08,9.18544e+07,5,1
85,4497.16,-8.89813,0.536,0.618,0.774,0.642667,875.539,1.19871e+06,2.49924e+07,8.73066e+06,1867.29,4.61923e+08,3.11743e+08,2.57889e+08,-2.2207e+07,-8.53251e+06,-1.59428e+07,-1.55608e+07,1,430.389,118,1,183.13,9.07559,14.1482,1,8.07461,41.2514,1.99299,1.12725,14.7905,3.15934e+07,2.77524e+08,2.35375e+08,1.81497e+08,413.803,1.39025e+08,9.6783e+07,7.86028e+07,5,1
86,4497.16,-9.05347,0.548,0.554,0.62,0.574,810.586,6.30365e+06,9.48884e+07,3.37309e+07,1651.46,4.93806e+08,3.47513e+08,2.8044e+08,-1.91473e+07,-1.00625e+07,-1.72954e+07,-1.55017e+07,1,243.748,119.401,1,121.383,6.58608,3.88759,1,3.82456,43.2255,7.44397,1,17.2232,2.82709e+07,2.52574e+08,2.04479e+08,1.61775e+08,327.318,1.94376e+08,1.17469e+08,1.03949e+08,10,1
87,4495.25,-9.23767,0.55,0.548,0.762,0.62,871.562,3.02743e+06,6.64342e+07,2.31542e+07,1804.61,2.6258e+08,2.0923e+08,1.57271e+08,-1.46834e+07,-8.24042e+06,-1.48522e+07,-1.2592e+07,1,329.602,291.592,1,207.398,4.5663,35.5282,1,13.6982,46.6538,10.1315,1,19.2618,2.19287e+07,2.23369e+08,1.12315e+08,1.19205e+08,381.032,9.39407e+07,4.82677e+07,4.74029e+07,8,1
88,4495.25,-9.41214,0.514,0.53,0.816,0.62,683.641,471.09,1.48991e+07,4.96676e+06,1663.1,3.09569e+08,1.93241e+08,1.67604e+08,-1.38034e+07,-8.25065e+06,-2.9923e+07,-1.73257e+07,3.99259,441.608,144.31,3.99259,196.637,19.1042,31.4276,3.9926,18.1748,47.4989,15.212,1,21.237,2.08586e+07,2.46785e+08,2.09725e+08,1.59123e+08,405.028,9.44438e+07,7.24134e+07,5.56192e+07,7,0.335558
89,4495.25,-9.56765,0.564,0.506,0.764,0.611333,814.496,5.32578e+06,3.29352e+07,1.27539e+07,1655.57,3.24924e+08,4.60082e+08,2.61669e+08,-1.06111e+07,-7.81598e+06,-2.55588e+07,-1.4662e+07,1,423.673,141.34,1,188.671,8.16292,6.58677,1,5.2499,54.6559,3.16406,1,19.6066,1.65647e+07,2.68755e+08,2.15805e+08,1.67042e+08,359.321,9.42873e+07,1.43007e+08,7.90983e+07,7,1
90,4495.25,-9.72338,0.552,0.506,0.786,0.614667,818.988,9.24417e+06,5.34975e+07,2.09142e+07,1912.57,2.98026e+08,5.9723e+08,2.98419e+08,-1.82606e+07,-1.03433e+07,-3.28996e+07,-2.05012e+07,1,216.047,283.762,1,166.936,9.13614,4.30641,1,4.81418,48.6569,5.16502,1,18.274,4.97506e+07,2.64233e+08,3.5198e+08,2.21988e+08,439.79,1.14055e+08,1.17718e+08,7.72575e+07,5,1
91,4493.33,-9.82197,0.532,0.55,0.728,0.603333,1524.42,288.988,1.50021e+08,5.00077e+07,2443.57,2.3318e+08,3.65912e+08,1.99698e+08,-2.12335e+07,-1.11484e+07,-3.00826e+07,-2.08215e+07,1,127.326,119.246,1,82.524,1.09513,58.753,1,20.2827,45.4254,26.8441,1,24.4232,3.90198e+07,2.78488e+08,2.03607e+08,1.73705e+08,391.062,1.00285e+08,1.17819e+08,7.27013e+07,6,1
92,4493.33,-9.95666,0.56,0.41,0.736,0.568667,941.398,5.2155e+07,2.77192e+07,2.6625e+07,2117.74,4.32959e+08,4.3831e+08,2.90424e+08,-2.36432e+07,-4.05418e+06,-1.01053e+07,-1.26009e+07,2.70206,344.482,226.305,2.70206,191.163,4.65783,15.3245,2.70206,7.56147,42.9707,6.88843,1,16.9531,3.76104e+07,2.55725e+08,1.71514e+08,1.5495e+08,467.675,1.2967e+08,1.56953e+08,9.55411e+07,9,0.465381
93,4493.33,-10.1417,0.586,0.504,0.702,0.597333,720.676,357.78,3.97678e+07,1.32563e+07,1417.09,2.50083e+08,8.31741e+07,1.11086e+08,-9.15146e+06,-6.73368e+06,-1.86954e+07,-1.15268e+07,2.86255,277.984,279.462,2.86255,186.769,12.5827,43.5066,2.86255,19.6506,62.1068,19.451,1.39958,27.6525,2.27893e+07,2.10886e+08,2.16198e+08,1.49958e+08,319.989,7.48253e+07,2.04331e+07,3.17529e+07,11,0.424501
94,4493.33,-10.2942,0.506,0.462,0.722,0.563333,1094.86,513.093,4.66459e+07,1.55492e+07,1901.21,3.87292e+08,1.47745e+08,1.78346e+08,-8.57895e+06,-5.05021e+06,-2.48138e+07,-1.28143e+07,1,163.362,305.787,1,156.716,2.01393,28.3869,1,10.4669,62.3094,11.2081,1,24.8392,1.23837e+07,2.21133e+08,1.36137e+08,1.23218e+08,352.979,1.44029e+08,4.11897e+07,6.17398e+07,11,1
95,4491.41,-10.4591,0.604,0.556,0.746,0.635333,852.512,262.771,1.9092e+08,6.36405e+07,1626.02,1.61582e+08,2.70697e+08,1.44094e+08,-2.07957e+07,-8.234e+06,-3.32723e+07,-2.07673e+07,1.99959,270.099,190.218,1.99959,154.105,5.91902,69.5633,1.99959,25.8273,50.3372,26.1213,1.19819,25.8856,3.2452e+07,2.17352e+08,1.53681e+08,1.34495e+08,339.387,5.8128e+07,6.19422e+07,4.00235e+07,9,0.507128
96,4491.41,-10.5875,0.544,0.502,0.704,0.583333,688.816,384.991,3.20809e+07,1.0694e+07,1466.16,2.71402e+08,3.75094e+08,2.15499e+08,-1.58818e+07,-7.65496e+06,-2.56659e+07,-1.64009e+07,1,400.343,123.954,1,175.099,11.6999,36.9869,1,16.5623,48.5368,11.4763,1,20.3377,2.9534e+07,2.14677e+08,2.5313e+08,1.6578e+08,319.719,1.00996e+08,9.56669e+07,6.55543e+07,7,1
97,4491.41,-10.7564,0.56,0.512,0.66,0.577333,1319.16,9.37384e+07,1.51844e+08,8.18611e+07,2197.76,2.97974e+08,2.71675e+08,1.89884e+08,-2.46902e+07,-1.14887e+07,-2.53005e+07,-2.04931e+07,1,138.241,121.7,1,86.9803,1.22835,3.52537,1,1.9179,44.8092,2.35922,1,16.0561,3.89859e+07,2.04349e+08,2.11301e+08,1.51545e+08,378.489,8.07525e+07,5.85161e+07,4.6423e+07,6,1
98,4491.41,-10.928,0.512,0.55,0.81,0.624,1194.25,7.27699e+06,2.73812e+07,1.15531e+07,2292.11,2.11884e+08,6.39091e+08,2.83659e+08,-3.17314e+07,-6.54841e+06,-2.19121e+07,-2.0064e+07,1,207.622,119,1,109.207,3.08511,9.34084,1,4.47532,36.5262,3.38982,1,13.6387,5.91288e+07,2.45788e+08,2.57981e+08,1.87632e+08,461.077,6.92541e+07,2.3775e+08,1.02335e+08,5,1
99,4489.49,-11.1135,0.518,0.688,0.782,0.662667,1113.24,4.73111e+06,1.1578e+07,5.43676e+06,2201.97,2.06935e+08,8.47285e+07,9.7222e+07,-2.38173e+07,-1.12326e+07,-2.09421e+07,-1.8664e+07,1,235.303,119.006,1,118.436,2.73838,1.00029,1,1.57955,40.4284,1.39441,1,14.2743,7.51764e+07,3.16545e+08,2.08241e+08,1.99987e+08,435.696,3.8193e+07,2.87637e+07,2.23191e+07,5,1
100,4489.49,-11.2967,0.54,0.626,0.77,0.645333,1265.52,1.25411e+08,1.2848e+07,4.60867e+07,2342.02,3.07148e+08,2.99647e+08,2.02266e+08,-2.64643e+07,-1.59483e+07,-2.22824e+07,-2.1565e+07,1,250.46,121.837,1,124.433,2.35844,1.03408,1,1.46417,40.4171,1,1,14.139,9.20062e+07,2.07669e+08,2.36178e+08,1.78618e+08,461.955,6.79976e+07,1.30555e+08,6.61843e+07,5,1
101,4489.49,-11.4664,0.574,0.564,0.748,0.628667,995.523,307.497,5.07502e+07,1.69172e+07,1968.6,4.961e+08,3.116e+08,2.69234e+08,-2.17214e+07,-6.97605e+06,-2.35931e+07,-1.74302e+07,1,241.717,156.003,1,132.907,3.6698,47.6621,1,17.444,46.2676,15.7216,1,20.9964,4.97633e+07,3.47915e+08,1.84672e+08,1.94117e+08,413.493,2.12329e+08,1.13257e+08,1.08529e+08,5,1
102,4487.57,-11.6515,0.524,0.548,0.762,0.611333,786.172,383.386,4.49576e+07,1.49863e+07,1985.29,3.30426e+08,2.93489e+08,2.07972e+08,-2.76163e+07,-1.24355e+07,-3.25101e+07,-2.41873e+07,1,387.608,171.94,1,186.849,11.287,38.7705,1,17.0192,34.792,13.4414,1,16.4111,8.13005e+07,2.63074e+08,1.80359e+08,1.74911e+08,446.112,1.19967e+08,1.08752e+08,7.62399e+07,5,1
103,4487.57,-11.784,0.554,0.544,0.784,0.627333,836.357,2.75128e+07,2.00644e+08,7.60525e+07,2.73847e+06,2.43367e+08,3.43812e+08,1.96639e+08,-4.79585e+07,-1.00858e+07,-3.7917e+07,-3.19871e+07,1,340.042,122.551,1,154.531,6.78771,1.54827,1,3.11199,25.1114,7.39906,1,11.1702,6.27448e+07,2.30925e+08,2.10265e+08,1.67978e+08,520360,7.26319e+07,7.82336e+07,5.0462e+07,9,1
104,4487.57,-11.9565,0.496,0.54,0.726,0.587333,960.342,1685.69,1.12786e+08,3.75963e+07,2226.69,5.40456e+08,2.34267e+08,2.58242e+08,-2.71501e+07,-8.56845e+06,-1.53957e+07,-1.70381e+07,1,345.917,125.473,1,157.463,4.34912,5.60654,1,3.65189,33.8307,7.54152,1,14.1241,3.78346e+07,2.29164e+08,7.30659e+07,1.13355e+08,460.562,2.2896e+08,5.99054e+07,9.62887e+07,6,1
105,4485.66,-12.1136,0.5,0.542,0.766,0.602667,827.201,1.96184e+07,1.42725e+08,5.41149e+07,2209.33,2.24686e+08,5.04959e+08,2.43216e+08,-3.54234e+07,-1.16968e+07,-3.90624e+07,-2.87276e+07,1,279.984,127.634,1,136.206,7.68477,2.8726,1,3.85246,33.1624,2.87216,1,12.3449,6.40482e+07,2.33134e+08,2.32668e+08,1.76617e+08,507.85,7.34105e+07,1.77547e+08,8.36528e+07,7,1
106,4485.66,-12.2655,0.54,0.538,0.74,0.606,1308.4,1.13639e+08,2.44379e+08,1.1934e+08,2705.02,4.28823e+08,2.83569e+08,2.37465e+08,-4.39276e+07,-1.20983e+07,-2.19392e+07,-2.59884e+07,1,234.131,119,1,118.044,2.69576,8.27639,1,3.99071,31.2831,2.18627,1,11.4898,4.4172e+07,2.33814e+08,2.20059e+08,1.66015e+08,560.358,8.53796e+07,7.41095e+07,5.31632e+07,5,1
107,4485.66,-12.4145,0.542,0.384,0.792,0.572667,1440.2,5.00668e+07,9.93616e+07,4.98099e+07,2860.97,5.94261e+08,2.77333e+08,2.90532e+08,-5.84516e+07,-4.32774e+06,-3.68937e+07,-3.32243e+07,1,150.685,128.653,1,93.4461,1.50962,1.13201,1,1.21388,26.9356,1,1,9.64519,5.70645e+07,2.52886e+08,3.91663e+08,2.33871e+08,564.72,2.31025e+08,6.68034e+07,9.92764e+07,5,1
108,4483.74,-12.4982,0.548,0.564,0.798,0.636667,1057.14,432.359,5.99183e+08,1.99728e+08,2507.04,2.09459e+08,8.3997e+08,3.49811e+08,-4.917e+07,-1.2839e+07,-4.49564e+07,-3.56551e+07,1,255.394,119.001,1,125.132,4.2757,30.2263,1,11.834,29.3845,15.6642,1,15.3496,5.30711e+07,2.35972e+08,2.4904e+08,1.79361e+08,556.91,8.07934e+07,2.22032e+08,1.00942e+08,5,1
109,4483.74,-12.6347,0.528,0.494,0.704,0.575333,1243.04,7.99866e+07,1.07893e+08,6.26269e+07,489604,5.66149e+08,4.72539e+08,3.46393e+08,-7.23765e+07,-6.93471e+06,-3.09447e+07,-3.6752e+07,1,248.648,169.445,1,139.698,3.13251,7.27404,1,3.80219,22.2791,5.53841,1,9.60584,7.34455e+07,2.19616e+08,4.97693e+08,2.63585e+08,28957.3,2.30752e+08,1.57641e+08,1.29474e+08,5,1
110,4483.74,-12.4438,0.57,0.63,0.756,0.652,1074.49,2.54344e+06,8.81987e+07,3.02477e+07,1.71984e+06,4.9738e+08,1.21875e+09,5.72617e+08,-7.73725e+07,-1.33572e+07,-3.455e+07,-4.17599e+07,1,286.077,119,1,135.359,6.24608,9.45522,1,5.5671,21.4911,6.49671,1,9.6626,8.44825e+07,2.4017e+08,6.02398e+08,3.09017e+08,187842,2.09682e+08,5.12021e+08,2.4063e+08,6,1
111,4481.82,-12.6072,0.548,0.526,0.778,0.617333,1492.68,1.83134e+08,1.17097e+07,6.49485e+07,1.49312e+06,4.84119e+08,6.8787e+07,1.848e+08,-6.32947e+07,-1.10476e+07,-2.63312e+07,-3.35579e+07,1,131.639,119,1,83.8797,2.40861,1,1,1.46954,22.2703,1,1,8.09011,7.34544e+07,1.84324e+08,5.61345e+08,2.73041e+08,211120,1.0231e+08,2.54615e+07,4.26608e+07,5,1
112,4481.82,-12.7532,0.496,0.438,0.744,0.559333,1650.49,632.71,3.07156e+07,1.02393e+07,6.3214e+06,5.41289e+08,5.30224e+08,3.59278e+08,-7.53515e+07,-5.2279e+06,-3.65767e+07,-3.9052e+07,1,126.213,148.408,1,91.8736,1.08963,17.994,1,6.69456,21.9735,11.8559,1,11.6098,9.11721e+07,2.04008e+08,2.96883e+08,1.97354e+08,946361,2.28422e+08,2.09887e+08,1.46418e+08,8,1
113,4481.82,-12.8893,0.562,0.546,0.798,0.635333,1166.86,8.37798e+07,9.47034e+06,3.10838e+07,3.26283e+06,4.24196e+08,6.86183e+08,3.71214e+08,-6.39412e+07,-1.20124e+07,-2.44196e+07,-3.34577e+07,1,348.069,118,1,155.69,3.68761,1,1,1.89587,22.7183,1,1,8.23945,8.19114e+07,1.57436e+08,6.73419e+08,3.04256e+08,426718,1.39396e+08,1.43179e+08,9.43338e+07,5,1
