step,arc,vx,accept_0,accept_1,accept_2,accept_mean,dS_p10_0,dS_p10_1,dS_p10_2,dS_p10_mean,dS_p50_0,dS_p50_1,dS_p50_2,dS_p50_mean,d_cost_0,d_cost_1,d_cost_2,d_cost_mean,ess_final,ess_post_0,ess_post_1,ess_post_2,ess_post_mean,ess_pre_0,ess_pre_1,ess_pre_2,ess_pre_mean,evolve_attract_ess_0,evolve_attract_ess_1,evolve_attract_ess_2,evolve_attract_ess_mean,sigma_S_0,sigma_S_1,sigma_S_2,sigma_S_mean,sigma_S_bulk_0,sigma_S_bulk_1,sigma_S_bulk_2,sigma_S_bulk_mean,unique_anc0,w_max
16,1.91467,3.28822,0.664,0.696,0.51,0.623333,265.938,176.313,182.154,208.135,677.867,373.419,537.863,529.716,-370.637,-129.086,-1.29569e+06,-432063,158.399,467.473,456.618,158.399,360.83,86.2122,235.235,167.017,162.821,88.3364,97.9675,55.9308,80.7449,1591.35,909.39,4.5007e+07,1.50032e+07,175.474,79.4775,96.1132,117.022,100,0.0245097
17,3.83073,3.09203,0.648,0.69,0.548,0.628667,381.195,155.597,192.983,243.258,843.508,442.924,116194,39160.2,-366.077,-131.955,-1.77442e+06,-591640,121.614,427.889,358.606,121.614,302.703,53.865,175.511,131.428,120.268,89.3659,97.6496,48.8273,78.6143,1601.44,813.693,8.3137e+07,2.77131e+07,189.885,113.076,3113.37,1138.78,80,0.0270975
18,3.83073,2.90758,0.64,0.634,0.494,0.589333,458.875,191.571,361.273,337.24,882.398,418.24,2.20439e+07,7.34841e+06,-389.025,-133.681,-2.22935e+06,-743291,64.7597,411.883,289.621,64.7597,255.421,45.084,189.119,55.5249,96.576,88.778,97.64,33.18,73.1993,1607.53,839.7,1.0009e+08,3.33643e+07,187.875,95.8776,5.43719e+06,1.81249e+06,87,0.0590857
19,3.83073,2.72398,0.666,0.666,0.486,0.606,477.969,137.55,241.829,285.783,910.281,484.807,2.2795e+07,7.59878e+06,-376.547,-130.406,-2.3177e+06,-772735,47.5805,470.294,368.87,47.5805,295.581,39.14,162.697,59.4008,87.0792,87.9328,97.0696,29.1678,71.39,1508.9,943.88,7.31641e+07,2.43889e+07,187.79,131.67,6.86276e+06,2.28769e+06,61,0.0883239
20,3.83073,2.5423,0.638,0.656,0.514,0.602667,458.906,141.294,216.739,272.313,929.977,465.374,3.06857e+06,1.02332e+06,-350.328,-133.209,-2.25675e+06,-752412,89.7819,450.505,415.933,89.7819,318.74,41.2796,162.771,106.977,103.676,88.4584,97.2453,43.9906,76.5648,1689.41,1031.45,1.23853e+08,4.12851e+07,189.995,123.54,474563,158292,67,0.0387198
21,3.83073,2.35164,0.67,0.662,0.49,0.607333,341.32,192.139,380.893,304.784,843.258,426.097,4.04684e+07,1.34899e+07,-373.837,-124.612,-2.94457e+06,-981689,39.9482,463.853,414.203,39.9482,306.001,64.8249,191.538,46.2171,100.86,88.3344,97.8098,25.9482,70.6975,1572.8,910.596,1.05805e+08,3.5269e+07,206.709,98.134,9.34028e+06,3.11353e+06,84,0.0838571
22,3.83073,2.1562,0.654,0.628,0.508,0.596667,509.977,226.713,308.928,348.539,1011.72,480.615,1229.85,907.396,-430.609,-3488.15,-2.01318e+06,-672366,133.357,472.935,426.103,133.357,344.132,28.74,146.49,124.132,99.7873,85.2871,97.2804,54.2556,78.941,1559.32,229447,1.58542e+08,5.29242e+07,237.441,112.576,107.825,152.614,46,0.0346844
23,3.83073,1.95926,0.654,0.65,0.502,0.602,375.484,165.182,686.389,409.018,853.648,461.492,1.10147e+08,3.67162e+07,-418.117,-4137.96,-4.53553e+06,-1.51336e+06,11.1764,457.436,373.904,11.1764,280.839,48.0226,172.994,8.92634,76.6478,86.8597,96.9904,19.5966,67.8156,1566.84,325707,1.36584e+08,4.56371e+07,204.146,112.656,3.68903e+07,1.22969e+07,74,0.265863
24,3.83073,1.77368,0.61,0.644,0.564,0.606,495.254,250.076,524.844,423.391,1136.39,501.612,2.08639e+08,6.95469e+07,-391.708,-131.964,-6.22861e+06,-2.07638e+06,30.3358,462.982,420.894,30.3358,304.737,31.5737,142.706,32.282,68.8539,85.2416,97.7163,21.6642,68.2074,1468.61,1017.16,1.71461e+08,5.71544e+07,271.097,110.824,6.22265e+07,2.07423e+07,53,0.119047
25,3.83073,1.57563,0.626,0.602,0.552,0.593333,654.004,236.933,1.75587e+07,5.85321e+06,1280.99,397.007,2.47473e+08,8.24916e+07,-433.024,-133.172,-8.48806e+06,-2.82954e+06,11.2268,441.333,408.879,11.2268,287.146,16.6894,235.637,15.7111,89.346,81.8726,97.7508,9.36243,62.9953,1518.4,7829.87,1.2515e+08,4.17199e+07,277.007,69.6423,8.79783e+07,2.93262e+07,57,0.228392
26,3.83073,1.39721,0.652,0.646,0.59,0.629333,576.926,202.971,1.10574e+07,3.68606e+06,1144.06,519.611,2.08167e+08,6.93897e+07,-448.32,-16934.6,-9.62496e+06,-3.21411e+06,5.74388,414.253,260.356,5.74388,226.785,21.8259,143.82,6.84107,57.4957,84.5716,96.3463,7.43997,62.7859,1499.35,251882,1.15705e+08,3.86528e+07,241.108,124.134,7.18761e+07,2.39588e+07,66,0.313336
27,3.83073,1.21441,0.648,0.608,0.514,0.59,987.762,263.601,1307.47,852.944,1560.87,722.885,1.01783e+08,3.39284e+07,-423.154,-229267,-6.08797e+06,-2.10589e+06,18.8383,146.338,346.113,18.8383,170.43,2.45431,81.2364,12.837,32.1759,84.6152,86.8867,13.6486,61.7169,1559.68,1.52905e+07,1.58629e+08,5.79737e+07,242.199,189.631,3.58911e+07,1.19639e+07,51,0.132368
28,3.83073,1.02304,0.632,0.578,0.5,0.57,1049.45,333.936,379.765,587.716,1650.6,583.894,3.96468e+07,1.32163e+07,-438.809,-100107,-3.68041e+06,-1.26032e+06,66.7276,323.367,375.173,66.7276,255.089,12.7623,140.065,36.3601,63.0626,83.5082,92.2232,30.1512,68.6275,1482.09,675626,1.40031e+08,4.69027e+07,373.469,97.3814,1.23871e+07,4.12918e+06,28,0.0453011
29,3.83073,0.843718,0.64,0.582,0.53,0.584,438.449,324.337,496.965,419.917,1596.1,652.195,8.2377e+07,2.74597e+07,-551.731,-401413,-7.60414e+06,-2.6687e+06,16.9488,405.911,192.056,16.9488,204.972,33.2799,80.9956,24.3729,46.2161,74.4598,78.1141,15.5151,56.0297,1654.92,7.33533e+06,1.38664e+08,4.8667e+07,477.451,147.603,2.5652e+07,8.55089e+06,59,0.170725
30,3.83073,0.644494,0.662,0.652,0.518,0.610667,619.59,302.566,7.54946e+06,2.5168e+06,1138.61,613.233,1.10088e+08,3.66965e+07,-558.954,-338656,-6.42655e+06,-2.25526e+06,4.81617,377.391,312.608,4.81617,231.605,18.8182,106.186,6.93547,43.9798,77.0006,88.3242,7.18162,57.5021,1640.54,1.11328e+07,1.71788e+08,6.0974e+07,243.973,133.507,3.35751e+07,1.11918e+07,41,0.276123
31,3.83073,0.448383,0.592,0.568,0.528,0.562667,516.977,280.495,481.247,426.24,1140.15,668.83,1.68504e+08,5.61686e+07,-537.848,-726694,-5.16186e+06,-1.96303e+06,42.0206,428.904,375.177,42.0206,282.034,23.9839,87.5271,27.991,46.5007,78.4055,71.5402,25.9131,58.6196,1648.93,1.59731e+07,1.75061e+08,6.36787e+07,256.904,146.61,4.65444e+07,1.55149e+07,57,0.0733703
32,3.83073,0.231654,0.636,0.568,0.556,0.586667,560.68,153.933,1061.06,591.891,1166.24,448.779,2.25446e+08,7.51493e+07,-537.649,-457749,-7.18773e+06,-2.54867e+06,29.4771,407.045,299.051,29.4771,245.191,23.8995,176.817,8.08921,69.6019,80.0285,80.0692,23.5773,61.225,1573.43,1.16191e+07,1.5757e+08,5.63967e+07,271.732,106.257,7.40821e+07,2.46942e+07,48,0.122852
33,3.83073,0.0367984,0.638,0.604,0.554,0.598667,492.59,160.122,1741.17,797.959,1191.73,576.552,3.27505e+08,1.09169e+08,-460.148,-964022,-6.44714e+06,-2.47054e+06,49.2639,433.315,307.69,49.2639,263.423,30.3465,130.517,3.15971,54.6743,82.2397,65.2955,27.5652,58.3668,1572.49,2.28322e+07,1.81913e+08,6.82491e+07,285.881,149.753,1.18303e+08,3.94345e+07,43,0.0640387
